TIMESTAMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,AIR_INTAKE_TEMP,SPEED,THROTTLE_POS
1502926613417.0,72.0,"26,70%",1461.0,43.0,17.0,26%
1502926621421.0,73.0,"23,90%",1137.0,42.0,1.0,24%
1502926629438.0,74.0,"35,30%",1219.0,42.0,12.0,26%
1502926641143.0,75.0,"33,30%",1209.0,42.0,15.0,27%
1502926649622.0,76.0,"35,70%",1247.0,43.0,14.0,27%
1502926660608.0,77.0,"55,30%",1329.0,43.0,22.0,31%
1502926672537.0,79.0,"41,60%",1677.0,41.0,38.0,31%
1502926680541.0,81.0,"34,50%",1643.0,40.0,37.0,28%
1502926688550.0,82.0,"17,60%",1367.0,40.0,23.0,23%
1502926696557.0,83.0,"22,70%",1128.0,40.0,0.0,25%
1502926704570.0,84.0,"40,40%",1479.0,39.0,27.0,31%
1502926712573.0,79.0,"25,10%",1905.0,39.0,42.0,30%
1502926720586.0,78.0,"39,20%",2311.0,38.0,46.0,32%
1502926728611.0,79.0,"17,60%",1435.0,38.0,39.0,23%
1502926736640.0,80.0,"25,10%",1155.0,38.0,32.0,24%
1502926744646.0,81.0,"59,20%",1000.0,37.0,35.0,32%
1502926752676.0,81.0,"49,40%",1518.0,37.0,41.0,32%
1502926760695.0,79.0,"34,90%",1689.0,37.0,41.0,30%
1502926768704.0,79.0,"32,20%",1317.0,37.0,42.0,27%
1502926776735.0,79.0,"17,30%",1359.0,37.0,39.0,22%
1502926784779.0,79.0,"17,30%",1229.0,37.0,37.0,22%
1502926792784.0,79.0,"17,30%",1209.0,37.0,22.0,22%
1502926800796.0,79.0,"47,80%",1510.0,35.0,44.0,32%
1502926808821.0,78.0,"29,80%",1622.0,35.0,55.0,29%
1502926816840.0,78.0,"16,90%",1825.0,35.0,56.0,24%
1502926828045.0,79.0,"16,10%",1754.0,35.0,52.0,24%
1502926836084.0,79.0,"17,60%",1769.0,35.0,52.0,25%
1502926844117.0,79.0,"58,00%",1625.0,33.0,53.0,35%
1502926852155.0,80.0,"16,90%",1680.0,34.0,44.0,24%
1502926860168.0,80.0,"19,20%",1058.0,34.0,7.0,22%
1502926868185.0,81.0,"21,60%",992.0,34.0,0.0,22%
1502926876202.0,81.0,"34,50%",1674.0,34.0,25.0,30%
1502926884218.0,79.0,"34,50%",1400.0,33.0,46.0,29%
1502926892233.0,79.0,"17,60%",2123.0,33.0,59.0,26%
1502926900249.0,79.0,"28,20%",2054.0,33.0,64.0,30%
1502926910539.0,80.0,"34,50%",2025.0,32.0,63.0,31%
1502926921770.0,80.0,"42,40%",2041.0,32.0,65.0,32%
1502926932857.0,80.0,"48,20%",2241.0,31.0,71.0,34%
1502926944790.0,80.0,"16,10%",1813.0,32.0,45.0,24%
1502926952803.0,80.0,"24,70%",1119.0,32.0,24.0,24%
1502926960835.0,80.0,"47,10%",1614.0,32.0,37.0,32%
1502926972859.0,80.0,"44,70%",2103.0,32.0,43.0,32%
1502926981069.0,79.0,"44,30%",2095.0,31.0,53.0,33%
1502926989077.0,80.0,"34,10%",1743.0,31.0,54.0,31%
1502926997528.0,80.0,"32,20%",1753.0,31.0,49.0,30%
1502927008755.0,80.0,"34,10%",1486.0,31.0,46.0,29%
1502927019784.0,80.0,"30,20%",1510.0,31.0,45.0,31%
1502927030062.0,80.0,"48,20%",1904.0,30.0,47.0,33%
1502927038083.0,80.0,"47,10%",1963.0,30.0,47.0,32%
1502927048728.0,80.0,"44,30%",1914.0,30.0,48.0,32%
1502927056734.0,81.0,"39,20%",1563.0,30.0,48.0,31%
1502927064864.0,81.0,"53,30%",1446.0,30.0,43.0,32%
1502927072872.0,81.0,"31,80%",1390.0,31.0,41.0,28%
1502927083064.0,81.0,"19,20%",1222.0,31.0,36.0,23%
1502927094796.0,81.0,"34,90%",1545.0,30.0,28.0,32%
1502927106716.0,81.0,"18,00%",1512.0,31.0,29.0,24%
1502927117878.0,81.0,"18,00%",1308.0,31.0,37.0,22%
1502927129825.0,81.0,"22,00%",1153.0,31.0,33.0,24%
1502927137871.0,80.0,"16,10%",2096.0,31.0,42.0,26%
1502927146680.0,81.0,"16,10%",2157.0,31.0,35.0,26%
1502927158990.0,81.0,"19,20%",1212.0,30.0,30.0,23%
1502927170750.0,81.0,"17,60%",1518.0,30.0,32.0,26%
1502927181751.0,81.0,"27,50%",1994.0,30.0,43.0,29%
